No,Channel,Date,Title,category,product,Media Name,Link URL,Sentiment,brand,company,metric_name,metric_value
16,Online Media,2024-02-26,"Brokers Digest: Local Equities - Engtex Group Bhd, Gamuda Bhd, ITMAX System Bhd, Infomina Bhd",All Categories,All products,THE EDGE,https://www.theedgemalaysia.com/node/701419,positive,Time,Time,Ad Value,2000.0
17,Online Media,2024-02-26,"Brokers Digest: Local Equities - Engtex Group Bhd, Gamuda Bhd, ITMAX System Bhd, Infomina Bhd",All Categories,All products,NEWSWAV.COM,https://newswav.com/article/brokers-digest-local-equities-engtex-group-bhd-gamuda-bhd-itmax-system-bhd-A2402_EAjEpE,positive,Time,Time,Ad Value,2000.0
18,Online Media,2024-02-29,Time dotCom Reports 9% Revenue Growth For FY2023,All Categories,All products,BUSINESS TODAY MY,https://www.businesstoday.com.my/2024/02/29/time-dotcom-reports-9-revenue-growth-for-fy2023/,positive,Time,Time,Ad Value,2000.0
19,Online Media,2024-02-29,"TIME dotCom posts record profits, dividend for FY2023",All Categories,All products,NEWSWAV.COM,https://newswav.com/article/time-dotcom-posts-record-profits-dividend-for-fy2023-A2402_XRjo7K,neutral,Time,Time,Ad Value,2000.0
20,Online Media,2024-02-29,"TIME dotCom posts record profits, dividend for FY2023",All Categories,All products,KLSE SCREENER,https://www.klsescreener.com/v2/news/view/1286087/TIME_dotCom_posts_record_profits_dividend_for_FY2023,neutral,Time,Time,Ad Value,1600.0
21,Online Media,2024-02-29,"TIME dotCom posts record profits, dividend for FY2023",All Categories,All products,THE EDGE,https://www.theedgemalaysia.com/node/702940,neutral,Time,Time,Ad Value,2000.0
22,Online Media,2024-02-29,TIME dotCom 2023财年净利和股息创纪录,All Categories,All products,NEWSWAV.COM,https://newswav.com/article/time-dotcom-2023%E8%B4%A2%E5%B9%B4%E5%87%80%E5%88%A9%E5%92%8C%E8%82%A1%E6%81%AF%E5%88%9B%E7%BA%AA%E5%BD%95-A2402_ABOgxt,neutral,Time,Time,Ad Value,2000.0
23,Online Media,2024-02-29,TIME dotCom 2023财年净利和股息创纪录,All Categories,All products,THE EDGE,https://www.theedgemalaysia.com/node/702943,neutral,Time,Time,Ad Value,2000.0
24,Online Media,2024-02-29,"MAHB, Bintulu Port, Affin Bank, Capital A, MRCB, Sarawak Oil Palms, CIMB, TIME dotCom, AirAsia X, D",All Categories,All products,THE EDGE,https://theedgemalaysia.com/node/702980,positive,Time,Time,Ad Value,2000.0
1,Online Media,2024-01-03,"MAHB, Bintulu Port, Affin Bank, Capital A, MRCB, Sarawak Oil Palms, CIMB, TIME dotCom, AirAsia X, D",All Categories,All products,KLSE SCREENER,https://www.klsescreener.com/v2/news/view/1286221/mahb-bintulu-port-affin-bank-capital-a-mrcb-sarawak-oil-palms-cimb-time-dotcom-airasia-x-drb-hicom-s-p-setia-ihh-tropicana-genting-7-eleven-malaysia,positive,Time,Time,Ad Value,1600.0
2,Online Media,2024-01-03,"MAHB, Bintulu Port, Affin Bank, Capital A, MRCB, Sarawak Oil Palms, CIMB, TIME dotCom, AirAsia X, D",All Categories,All products,NEWSWAV.COM,https://newswav.com/article/mahb-bintulu-port-affin-bank-capital-a-mrcb-sarawak-oil-palms-cimb-time-dot-A2402_xvuEkM,positive,Time,Time,Ad Value,2000.0
3,Online Media,2024-01-03,"Trading ideas: MAHB, Affin Bank, Capital A, MRBC, Sarawak Oil Palms, CIMB, TIME dotcom, AAX, DRB-Hi",All Categories,All products,THE STAR ONLINE - MY,https://www.thestar.com.my/business/business-news/2024/03/01/trading-ideas-mahb-affin-bank-capital-a-mrbc-sarawak-oil-palms-cimb-time-dotcom-aax-drb-hicom-sp-setia-ihh-tropicana-and-genting,negative,Time,Time,Ad Value,11200.0
4,Online Media,2024-01-03,"Trading ideas: MAHB, Affin Bank, Capital A, MRBC, Sarawak Oil Palms, CIMB, TIME dotcom, AAX, DRB-Hi",All Categories,All products,KLSE SCREENER,https://www.klsescreener.com/v2/news/view/1286319/trading-ideas-mahb-affin-bank-capital-a-mrbc-sarawak-oil-palms-cimb-time-dotcom-aax-drb-hicom-sp-setia-ihh-tropicana-and-genting,negative,Time,Time,Ad Value,1600.0
5,Online Media,2024-01-03,"Trading ideas: MAHB, Affin Bank, Capital A, MRBC, Sarawak Oil Palms, CIMB, TIME dotcom, AAX, DRB-Hi",All Categories,All products,BERITAKINI,https://beritakini.biz/trading-ideas-mahb-affin-bank-capital-a-mrbc-sarawak-oil-palms-cimb-time-dotcom-aax-drb-hicom-sp-setia-ihh-tropicana-and-genting/,negative,Time,Time,Ad Value,2000.0
6,Online Media,2024-01-03,Kenanga Today Highlights - 01 Mar 2024,All Categories,All products,I3INVESTOR MY,https://klse.i3investor.com/web/blog/detail/kenangaresearch/2024-03-01-story-h-187412878-Kenanga_Today_Highlights_01_Mar_2024,negative,Time,Time,Ad Value,8400.0
7,Online Media,2024-01-03,Kenanga Today Highlights - 01 Mar 2024,All Categories,All products,I3INVESTOR,https://klse1.i3investor.com/blogs/kenangaresearch/2024-03-01-story-h-187412878-Kenanga_Today_Highlights_01_Mar_2024.jsp,negative,Time,Time,Ad Value,1000.0
8,Online Media,2024-01-03,Mplus Market Pulse - 01 Mar 2024,All Categories,All products,I3INVESTOR,https://klse1.i3investor.com/blogs/MplusOnline/2024-03-01-story-h-187412824-Mplus_Market_Pulse_01_Mar_2024.jsp,positive,Time,Time,Ad Value,1000.0
9,Online Media,2024-01-03,Mplus Market Pulse - 01 Mar 2024,All Categories,All products,I3INVESTOR MY,https://klse.i3investor.com/web/blog/detail/MplusOnline/2024-03-01-story-h-187412824-Mplus_Market_Pulse_01_Mar_2024,positive,Time,Time,Ad Value,8400.0
10,Online Media,2024-01-03,Time DotCom - Cost Pressures; Downgrade to NEUTRAL,All Categories,All products,I3INVESTOR,https://klse1.i3investor.com/blogs/rhbinvest/2024-03-01-story-h-187412042-Time_DotCom_Cost_Pressures_Downgrade_to_NEUTRAL.jsp,positive,Time,Time,Ad Value,1000.0
11,Online Media,2024-01-03,Time DotCom - Cost Pressures; Downgrade to NEUTRAL,All Categories,All products,I3INVESTOR MY,https://klse.i3investor.com/web/blog/detail/rhbinvest/2024-03-01-story-h-187412042-Time_DotCom_Cost_Pressures_Downgrade_to_NEUTRAL,positive,Time,Time,Ad Value,8400.0
12,Online Media,2024-01-03,"MAHB, Bintulu Port, Affin Bank, Capital A, MRCB, Sarawak Oil Palms, CIMB, TIME dotCom, AirAsia X, D",All Categories,All products,JOHOR BIZ NETWORK,https://www.johorbiznet.com/2024/03/01/mahb-bintulu-port-affin-bank-capital-a-mrcb-sarawak-oil-palms-cimb-time-dotcom-airasia-x-drb-hicom-s-p-setia-ihh-tropicana-genting-7-eleven-malaysia-the-edge-malaysia/,neutral,Time,Time,Ad Value,3000.0
13,Online Media,2024-01-03,"1 MAC 2024 SAMBUTAN HARI HASIL KE-28: PENDEKATAN INSANI, MENDOKONG ASPIRASI MALAYSIA MADANI",All Categories,All products,MEDIA RELATIONS AND EVENT MANAGEMENT,http://mrembm.bernama.com/viewsm.php?idm=17948,positive,Time,Time,Ad Value,5000.0
14,Online Media,2024-03-03,Sambutan Hari HASiL Ke-28 Pada 1 Mac 2024,All Categories,All products,SIAKAP KELI,https://siakapkeli.my/2024/03/03/sambutan-hari-hasil-ke-28-pada-1-mac-2024,positive,Time,Time,Ad Value,4800.0
15,Online Media,2024-02-03,Loke: Putrajaya to restore cabotage exemption for foreign cable repair vessels,"Enterprise, Wholesale, or Public Sector",Enterprise products,MSN.COM MALAY,https://www.msn.com/en-my/money/topstories/loke-putrajaya-to-restore-cabotage-exemption-for-foreign-cable-repair-vessels/ar-BB1j9Nw9,positive,Time,Time,Ad Value,5600.0
16,Online Media,2024-04-03,Taraf saranan TIME diturunkan kepada ‘neutral' selepas prestasi FY23 di bawah jangkaan – RHB Invest,All Categories,All products,DAGANG NEWS,https://www.dagangnews.com/index.php/article/taraf-saranan-time-diturunkan-kepada-neutral-selepas-prestasi-fy23-di-bawah-jangkaan-rhb-investment-35447,positive,Time,Time,Ad Value,2000.0
17,Online Media,2024-08-03,"PNB, EPF bag RM12.55b in FY2023 dividends from top 50 PLCs",All Categories,All products,THE EDGE,https://www.theedgemalaysia.com/node/703838,positive,Time,Time,Ad Value,2000.0
